Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578831;2050.0072014.11.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ÁRVORE DE NATAL MOLHADA AS-131 - CAMPO DE JUBARTE - PDA:187-96772/11;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;12/09/2028;US$ 2.653.284,48;US$ 2.216.095,56;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578832;2050.0083458.13.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ARVORE DE NATAL MOLHADA CCB 212 - CAMPO JUBARTE - PDA 187-92611/13;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;29/07/2023;US$ 2.293.096,32;US$ 0,00;US$ 1.680.849,66;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578833;2050.0038491.07.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DA ANM KV-97 - CAMPO MARLIM LESTE;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;17/09/2024;US$ 1.426.678,40;US$ 0,00;US$ 1.116.503,23;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578834;2050.0041230.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL ANM KV-101 - CAMPO DE MARLIM LESTE;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;04/01/2025;US$ 1.629.054,99;US$ 0,00;US$ 1.291.315,62;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578835;2050.0044653.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL REFERENTE A KV-108 - CAMPO DE MARLIM;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;11/06/2025;US$ 1.777.112,02;US$ 0,00;US$ 1.431.897,20;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578836;2050.0078537.12.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ANM FC-272 MARLIM LESTE - PDAS 187-94638/12 E 187-95039/12;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;09/07/2027;US$ 2.503.112,25;US$ 2.105.987,55;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578837;2050.0091769.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ÁRVORE DE NATAL MOLHADA FC-328 - MARLIM LESTE - MLL-5 - PDA:187-93109/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;14/07/2024;US$ 3.121.299,00;US$ 0,00;US$ 2.247.335,28;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578838;2050.0092848.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXÍVEIS 6" DI - BALEIA FRANCA - BFRP-01 6" - PDA: 187-94064/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;05/09/2024;US$ 7.647.119,84;US$ 0,00;US$ 4.928.754,08;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578839;2050.0093140.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ÁRVORE DE NATAL MOLHADA CCB-227 - GOLFINHO - PDA: 187-94542/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;18/09/2024;US$ 2.853.510,12;US$ 0,00;US$ 2.233.403,28;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578840;2050.0100324.16.2;;DISPENSA;RONCADOR B.V.;EXTERNO;RISER FLEXÍVEL DE GÁS LIFT 4' DI - RONCADOR - P4 - 13 GL - PDA 187-95135/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;14/02/2026;US$ 1.559.495,30;US$ 0,00;US$ 1.283.824,08;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578841;2050.0035448.07.2;;DISPENSA;RONCADOR B.V.;EXTERNO;CONTRATO DE ALUGUEL REFERENTE AO EQUIPAMENTO MANIFOLD DA FMC PARA A PLATAFORM;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;13/08/2024;US$ 4.064.060,57;US$ 0,00;US$ 3.496.832,63;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578842;2050.0036353.07.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE LINHAS FLEXIVEIS DA TECHNIP PARA JUMPER P-52 (CAMPO RONCADOR);Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;08/08/2024;US$ 1.466.280,90;US$ 0,00;US$ 337.446,29;Concluído;
